internalTaxonId,scientificName,name,language,main
22679393,Polyplectron schleiermacheri,Bornean Peacock-Pheasant,English,false
22679393,Polyplectron schleiermacheri,Espolonero de Borneo,Spanish; Castilian,false
22679393,Polyplectron schleiermacheri,Bornean Peacock-pheasant,English,true
22715775,Liocichla steerii,Steere's Liocichla,English,false
22715775,Liocichla steerii,Taiwan Liocichla,English,true
22678664,Tetraogallus caspius,Caspian Snowcock,English,true
22678707,Alectoris barbara,Perdrix gambra,French,false
22678707,Alectoris barbara,Barbary Partridge,English,true
22678652,Ammoperdix griseogularis,See-see,English,false
22678652,Ammoperdix griseogularis,See-See Partridge,English,false
22678652,Ammoperdix griseogularis,See-see Partridge,English,true
45100023,Phasianus colchicus,Common Pheasant,English,true
22678911,Perdix perdix,Gray Partridge,English,false
22678911,Perdix perdix,Partridge,English,false
22678911,Perdix perdix,Grey Partridge,English,true
22679494,Bonasa bonasia,Hazel Grouse,English,true
22679487,Tetrao urogallus,Capercaillie,English,false
22679487,Tetrao urogallus,Western Capercaillie,English,true
22679480,Lyrurus tetrix,Black Grouse,English,true
22679839,Cygnus olor,Mute Swan,English,true
22679856,Cygnus cygnus,Whooper Swan,English,true
22679872,Anser brachyrhynchus,Pink-footed Goose,English,true
22679881,Anser albifrons,White-fronted Goose,English,false
22679881,Anser albifrons,Oie rieuse,French,false
22679881,Anser albifrons,Greater White-fronted Goose,English,true
22680465,Mergellus albellus,Smew,English,true
22680003,Tadorna ferruginea,Tadorne casarca,French,false
22680003,Tadorna ferruginea,Ruddy Shelduck,English,true
22680348,Netta rufina,Red-crested Pochard,English,true
22680391,Aythya fuligula,Fuligule morillon,French,false
22680391,Aythya fuligula,Tufted Duck,English,true
22680313,Spatula querquedula,Sarcelle d'été,French,false
22680313,Spatula querquedula,Garganey,English,true
22680149,Mareca strepera,Canard chipeau,French,false
22680149,Mareca strepera,Gadwall,English,true
22690088,Columba oenas,Stock Pigeon,English,false
22690088,Columba oenas,Stock Dove,English,true
22690117,Columba bollii,Bolle's Laurel Pigeon,English,false
22690117,Columba bollii,Bolle's Pigeon,English,false
22690117,Columba bollii,Dark-tailed Laurel-pigeon,English,true
22689887,Caprimulgus europaeus,European Nightjar,English,false
22689887,Caprimulgus europaeus,Nightjar,English,false
22689887,Caprimulgus europaeus,Engoulevent d'Europe,French,false
22689887,Caprimulgus europaeus,European Nightjar,English,true
22686774,Tachymarptis melba,Martinet alpin,French,false
22686774,Tachymarptis melba,Alpine Swift,English,true
22686800,Apus apus,European Swift,English,false
22686800,Apus apus,Swift,English,false
22686800,Apus apus,Martinet noir,French,false
22686800,Apus apus,Common Swift,English,true
22692543,Crex crex,Corn Crake,English,false
22692543,Crex crex,Râle des genêts,French,false
22692543,Crex crex,Corncrake,English,true
22692676,Porzana porzana,Marouette ponctuée,French,false
22692676,Porzana porzana,Spotted Crake,English,true
22692663,Zapornia parva,Marouette poussin,French,false
